gen,avg,std,max
0,0.28290989983253156,0.09450483394909817,0.45346831656367115
1,0.34469920754088484,0.10742281715013849,0.47456823104881574
2,0.37432891053797895,0.11409250354396654,0.47456823104881574
3,0.3828756415584679,0.09860981783825581,0.47456823104881574
4,0.41045971066927533,0.08073860482464694,0.47456823104881574
5,0.41057653437260055,0.05409607726983881,0.47456823104881574
6,0.3984939677185175,0.21597035204733003,0.591876746230273
7,0.4551395465186136,0.0912809801385188,0.591876746230273
8,0.36116888724196305,0.09099017151449562,0.47456823104881574
9,0.37372774701183614,0.09633299371065379,0.47456823104881574
10,0.4455588470716266,0.06430312136604902,0.47456823104881574
11,0.30464489516965637,0.3499316976067652,0.512038210012811
12,0.4858887551889425,0.05637257650887199,0.5950658673046628
13,0.46029203921105033,0.10603166259710936,0.5950658673046628
14,0.4811218311637487,0.0768117912752649,0.5950658673046628
15,0.41188691394976384,0.1340108461346454,0.5950658673046628
16,0.520591046316998,0.06640279602074947,0.5950658673046628
17,0.5496677081145268,0.19115351497881009,1.0162888768843366
18,-181.60910098670257,547.1989006459044,1.1273305396130107
19,-32.027278408439436,97.82313113538159,1.317705871866227
20,-191.49279733462419,576.2466949261733,1.022627652371942
